CrmId,Account,Subscription,SubscriptionStartDate,SubscriptionEndDate,ExtendedSubscriptionEndDate,SKU,Product,RatePlan,LocationID,MarketCode,CategoryCode
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | IL-Chicago Suburbs | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,179,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238440,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | TX-San Antonio | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,180,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | NY-Long Island | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,182,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238440,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | TX-Houston | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,183,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | MI-Lansing/Tri-Cities | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,187,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | SC-South Carolina | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,188,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | NY-Wstrn/Cent/Upstate | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,189,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238440,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | TN-Tennessee | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,190,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238440,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | TX-Austin | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,191,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238440,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | VA-Virginia | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,192,BWP
