Subscription,SubscriptionEndDate,SKU,Product,RatePlan,ChargeNumber,LocationID,MarketCode,CategoryCode
A-S00206230,2020-12-13,SKU-00000092,Storefront,Storefront | TX-Houston | Bar Services,C-01559936,96490A50-AE80-4956-A010-8BB226590F1E,183,BAR
A-S00206231,2020-12-13,SKU-00000034,Featured Vendor,Featured Vendor | MN-Minnesota | Wedding Photographers,C-01525466,A300B0F0-6DC1-48D3-BC0B-95ABC926E5BF,004,WPH
A-S00206231,2020-12-13,SKU-00000092,Storefront,Storefront | MN-Minnesota | Wedding Photographers,C-01525465,A300B0F0-6DC1-48D3-BC0B-95ABC926E5BF,004,WPH
A-S00206232,2020-12-13,SKU-00000092,Storefront,Storefront | FL-Central | Wedding Bands,C-01525467,0360A711-411A-4608-A958-44BC48CF33DA,053,BDS
A-S00206237,2020-12-13,SKU-00000092,Storefront,Storefront | NY-Long Island | Wedding Photographers,C-01525476,8B61C0B0-E4F0-4DF4-98AD-CD74FB1475A7,182,WPH
A-S00206238,2020-12-13,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | CA-Orange County | Bar Services,C-01525478,46D279FA-BD84-4AE5-935C-A0F035EB0359,042,BAR
A-S00206238,2020-12-13,SKU-00000092,Storefront,Storefront | CA-Orange County | Bar Services,C-01525477,46D279FA-BD84-4AE5-935C-A0F035EB0359,042,BAR
A-S00206240,2020-12-13,SKU-00000092,Storefront,Storefront | FL-South | Wedding Photographers,C-01525480,A23A17FB-181D-4662-9E8C-6DAA9A8ABAEF,065,WPH
A-S00206242,2020-12-13,SKU-00000034,Featured Vendor,Featured Vendor | MI-Grand Rpds/Northern | Wedding Cakes,C-01525484,1C05A463-DE4B-4558-A69B-7A390CC00EAF,186,WCK
A-S00206242,2020-12-13,SKU-00000092,Storefront,Storefront | MI-Grand Rpds/Northern | Wedding Cakes,C-01525483,1C05A463-DE4B-4558-A69B-7A390CC00EAF,186,WCK
A-S00206245,2020-12-11,SKU-00000034,Featured Vendor,Featured Vendor | OH-Cincinnati | Wedding Cakes,C-01525489,37FAD6E0-E0DA-E111-8BEC-78E3B50834E7,035,WCK
A-S00206245,2020-12-11,SKU-00000092,Storefront,Storefront | OH-Cincinnati | Wedding Cakes,C-01525488,37FAD6E0-E0DA-E111-8BEC-78E3B50834E7,035,WCK
